Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
27-01-2025,17:23,27-01-2025,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,"Koop 2 @ 134,94 EUR",,EUR,-269.88,EUR,41.97,355d4c27-638c-4247-bc19-6e66a9870ff5
27-01-2025,17:22,27-01-2025,NVIDIA CORP,US67066G1040,Valuta Creditering,1.0479,USD,363.11,USD,0.01,3e2ee700-2226-450b-b4f4-c1244299732e
27-01-2025,17:22,27-01-2025,NVIDIA CORP,US67066G1040,Valuta Debitering,,EUR,-346.52,EUR,311.85,3e2ee700-2226-450b-b4f4-c1244299732e
27-01-2025,17:22,27-01-2025,NVIDIA CORP,US67066G1040,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-2.00,EUR,658.37,3e2ee700-2226-450b-b4f4-c1244299732e
27-01-2025,17:22,27-01-2025,NVIDIA CORP,US67066G1040,"Koop 3 @ 121,035 USD",,USD,-363.11,USD,-363.10,3e2ee700-2226-450b-b4f4-c1244299732e
27-01-2025,17:22,27-01-2025,,,Reservation iDEAL / Sofort Deposit,,EUR,650.00,EUR,660.37,
15-01-2025,17:45,15-01-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 639,63 EUR",,,,EUR,10.37,
15-01-2025,17:45,15-01-2025,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,639.63,EUR,650.00,
15-01-2025,05:02,14-01-2025,,,iDEAL Deposit,,EUR,650.00,EUR,10.37,
15-01-2025,05:02,14-01-2025,,,Reservation iDEAL / Sofort Deposit,,EUR,-650.00,EUR,-639.63,
14-01-2025,18:00,14-01-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 33,07 EUR",,,,EUR,10.37,
14-01-2025,18:00,14-01-2025,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,33.07,EUR,43.44,
14-01-2025,11:08,14-01-2025,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,10.37,aca733e1-e1a8-4739-9f4f-af1bf2e60576
14-01-2025,11:08,14-01-2025,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,"Koop 5 @ 134,34 EUR",,EUR,-671.70,EUR,11.37,aca733e1-e1a8-4739-9f4f-af1bf2e60576
14-01-2025,11:07,14-01-2025,,,Reservation iDEAL / Sofort Deposit,,EUR,650.00,EUR,683.07,
06-01-2025,23:17,03-01-2025,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,15 EUR",,,,EUR,33.07,
06-01-2025,23:17,03-01-2025,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.15,EUR,32.92,
05-01-2025,08:50,02-01-2025,,,Flatex Interest Income,,EUR,0.00,EUR,33.07,
31-12-2024,08:13,30-12-2024,,,Valuta Creditering,,EUR,0.15,EUR,33.07,
31-12-2024,08:13,30-12-2024,,,Valuta Debitering,1.0433,USD,-0.16,USD,0.00,
30-12-2024,07:12,27-12-2024,NVIDIA CORP,US67066G1040,Dividend,,USD,0.19,USD,0.16,
30-12-2024,07:12,27-12-2024,NVIDIA CORP,US67066G1040,Dividendbelasting,,USD,-0.03,USD,-0.03,
23-12-2024,17:46,23-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.56,EUR,32.92,
23-12-2024,17:46,23-12-2024,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 3,56 EUR",,,,EUR,36.48,
21-12-2024,06:47,20-12-2024,,,Valuta Creditering,,EUR,3.56,EUR,32.92,
21-12-2024,06:47,20-12-2024,,,Valuta Debitering,1.0456,USD,-3.72,USD,0.00,
20-12-2024,07:29,19-12-2024,,,DEGIRO Corporate Action Kosten,,USD,-0.41,USD,3.72,
20-12-2024,07:29,19-12-2024,ADR ON SHELL PLC,US7802593050,Dividend,,USD,4.13,USD,4.13,
19-12-2024,18:00,19-12-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 1.150,64 EUR",,,,EUR,29.36,
19-12-2024,18:00,19-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,1150.64,EUR,1180.00,
19-12-2024,12:40,18-12-2024,,,iDEAL Deposit,,EUR,390.00,EUR,29.36,
19-12-2024,12:40,18-12-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-390.00,EUR,-360.64,
19-12-2024,12:35,18-12-2024,,,iDEAL Deposit,,EUR,790.00,EUR,29.36,
19-12-2024,12:35,18-12-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-790.00,EUR,-760.64,
18-12-2024,15:15,17-12-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 27,76 EUR",,,,EUR,29.36,
18-12-2024,15:15,17-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,27.76,EUR,57.12,
17-12-2024,16:23,17-12-2024,NVIDIA CORP,US67066G1040,Valuta Creditering,1.0476,USD,381.53,USD,0.00,a419bd68-59d9-4831-a328-3297e6cd3382
17-12-2024,16:23,17-12-2024,NVIDIA CORP,US67066G1040,Valuta Debitering,,EUR,-364.20,EUR,29.36,a419bd68-59d9-4831-a328-3297e6cd3382
17-12-2024,16:23,17-12-2024,NVIDIA CORP,US67066G1040,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-2.00,EUR,393.56,a419bd68-59d9-4831-a328-3297e6cd3382
17-12-2024,16:23,17-12-2024,NVIDIA CORP,US67066G1040,"Koop 3 @ 127,175 USD",,USD,-381.53,USD,-381.53,a419bd68-59d9-4831-a328-3297e6cd3382
17-12-2024,16:22,17-12-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,390.00,EUR,395.56,
17-12-2024,16:18,17-12-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,5.56,2a7fa2d0-ed97-49f1-b502-9e2f349205a9
17-12-2024,16:18,17-12-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,"Koop 6 @ 135,2 EUR",,EUR,-811.20,EUR,6.56,2a7fa2d0-ed97-49f1-b502-9e2f349205a9
17-12-2024,16:17,17-12-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,790.00,EUR,817.76,
06-12-2024,19:15,06-12-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 317,24 EUR",,,,EUR,27.76,
06-12-2024,19:15,06-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,317.24,EUR,345.00,
06-12-2024,05:30,05-12-2024,,,iDEAL Deposit,,EUR,345.00,EUR,27.76,
06-12-2024,05:30,05-12-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-345.00,EUR,-317.24,
05-12-2024,13:45,04-12-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 1,81 EUR",,,,EUR,27.76,
05-12-2024,13:45,04-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,1.81,EUR,29.57,
04-12-2024,16:29,04-12-2024,XTRACKERS MSCI KOREA UCITS ETF 1C,LU0292100046,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-3.00,EUR,27.76,dd03b399-31a3-4b89-994c-3a522fe07f20
04-12-2024,16:29,04-12-2024,XTRACKERS MSCI KOREA UCITS ETF 1C,LU0292100046,"Koop 5 @ 63,21 EUR",,EUR,-316.05,EUR,30.76,dd03b399-31a3-4b89-994c-3a522fe07f20
04-12-2024,16:26,04-12-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,345.00,EUR,346.81,
15-11-2024,14:15,14-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,218.19,EUR,1.81,
15-11-2024,14:15,14-11-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 218,19 EUR",,,,EUR,-216.38,
14-11-2024,19:41,13-11-2024,,,iDEAL Deposit,,EUR,220.00,EUR,1.81,
14-11-2024,19:41,13-11-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-220.00,EUR,-218.19,
13-11-2024,18:00,13-11-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 84,08 EUR",,,,EUR,1.81,
13-11-2024,18:00,13-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,84.08,EUR,85.89,
13-11-2024,09:34,13-11-2024,ISHARES AEX UCITS ETF EUR (ACC),IE00BMTX2B82,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-3.00,EUR,1.81,19d3474b-488b-4c59-aee2-1c79a610a3e7
13-11-2024,09:34,13-11-2024,ISHARES AEX UCITS ETF EUR (ACC),IE00BMTX2B82,"Koop 36 @ 8,313 EUR",,EUR,-299.27,EUR,4.81,19d3474b-488b-4c59-aee2-1c79a610a3e7
13-11-2024,09:33,13-11-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,220.00,EUR,304.08,
08-11-2024,18:15,08-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.16,EUR,84.08,
08-11-2024,18:15,08-11-2024,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 1,16 EUR",,,,EUR,85.24,
08-11-2024,08:19,07-11-2024,,,DEGIRO Corporate Action Kosten,,EUR,-0.13,EUR,84.08,
08-11-2024,08:15,07-11-2024,ASML HOLDING NV,NL0010273215,Dividendbelasting,,EUR,-0.23,EUR,84.21,
08-11-2024,08:15,07-11-2024,ASML HOLDING NV,NL0010273215,Dividend,,EUR,1.52,EUR,84.44,
04-11-2024,17:00,04-11-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 267,08 EUR",,,,EUR,82.92,
04-11-2024,17:00,04-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,267.08,EUR,350.00,
02-11-2024,07:15,01-11-2024,,,iDEAL Deposit,,EUR,350.00,EUR,82.92,
02-11-2024,07:15,01-11-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-350.00,EUR,-267.08,
02-11-2024,06:45,01-11-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,100.90,EUR,82.92,
02-11-2024,06:45,01-11-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 100,9 EUR",,,,EUR,-17.98,
01-11-2024,09:32,01-11-2024,AMAZON.COM INC,US0231351067,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-4.90,EUR,82.92,ecdb383a-a343-43c6-ab77-5469196602a3
01-11-2024,09:32,01-11-2024,AMAZON.COM INC,US0231351067,"Koop 2 @ 181,54 EUR",,EUR,-363.08,EUR,87.82,ecdb383a-a343-43c6-ab77-5469196602a3
01-11-2024,09:30,01-11-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,350.00,EUR,450.90,
29-10-2024,17:15,29-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,899.10,EUR,100.90,
29-10-2024,17:15,29-10-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 899,1 EUR",,,,EUR,-798.20,
29-10-2024,04:51,28-10-2024,,,iDEAL Deposit,,EUR,1000.00,EUR,100.90,
29-10-2024,04:51,28-10-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-1000.00,EUR,-899.10,
28-10-2024,10:45,25-10-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 7,32 EUR",,,,EUR,100.90,
28-10-2024,10:45,25-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,7.32,EUR,108.22,
25-10-2024,17:25,25-10-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-3.00,EUR,100.90,04945ab0-35ed-47fb-a3b0-866aae8a4e66
25-10-2024,17:25,25-10-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,"Koop 7 @ 129,06 EUR",,EUR,-903.42,EUR,103.90,04945ab0-35ed-47fb-a3b0-866aae8a4e66
25-10-2024,17:25,25-10-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,1000.00,EUR,1007.32,
17-10-2024,17:45,17-10-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 642,68 EUR",,,,EUR,7.32,
17-10-2024,17:45,17-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,642.68,EUR,650.00,
17-10-2024,04:50,16-10-2024,,,iDEAL Deposit,,EUR,650.00,EUR,7.32,
17-10-2024,04:50,16-10-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-650.00,EUR,-642.68,
16-10-2024,18:45,16-10-2024,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 500 EUR,,,,EUR,7.32,
16-10-2024,18:45,16-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,500.00,EUR,507.32,
16-10-2024,13:21,15-10-2024,,,iDEAL Deposit,,EUR,500.00,EUR,7.32,
16-10-2024,13:21,15-10-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-500.00,EUR,-492.68,
16-10-2024,11:58,16-10-2024,ASML HOLDING NV,NL0010273215,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-3.00,EUR,7.32,488547a7-8fae-4901-acd8-0f77252bcfa6
16-10-2024,11:58,16-10-2024,ASML HOLDING NV,NL0010273215,Koop 1 @ 640 EUR,,EUR,-640.00,EUR,10.32,488547a7-8fae-4901-acd8-0f77252bcfa6
16-10-2024,11:57,16-10-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,650.00,EUR,650.32,
15-10-2024,11:15,14-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,30.72,EUR,0.32,
15-10-2024,11:15,14-10-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 30,72 EUR",,,,EUR,-30.40,
14-10-2024,16:14,14-10-2024,ISHARES MSCI CHINA A UCITS ETF USD (ACC),IE00BQT3WG13,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-3.00,EUR,0.32,e03c2fbc-1121-48a5-a308-fa8cffedc0c4
14-10-2024,16:14,14-10-2024,ISHARES MSCI CHINA A UCITS ETF USD (ACC),IE00BQT3WG13,"Koop 120 @ 4,395 EUR",,EUR,-527.40,EUR,3.32,e03c2fbc-1121-48a5-a308-fa8cffedc0c4
14-10-2024,15:46,14-10-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,500.00,EUR,530.72,
07-10-2024,18:45,07-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,349.28,EUR,30.72,
07-10-2024,18:45,07-10-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 349,28 EUR",,,,EUR,-318.56,
05-10-2024,06:57,04-10-2024,,,Valuta Creditering,,EUR,0.13,EUR,30.72,
05-10-2024,06:57,04-10-2024,,,Valuta Debitering,1.1002,USD,-0.14,USD,0.00,
05-10-2024,04:53,04-10-2024,,,iDEAL Deposit,,EUR,380.00,EUR,30.59,
05-10-2024,04:53,04-10-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-380.00,EUR,-349.41,
05-10-2024,04:20,30-09-2024,,,Flatex Interest Income,,EUR,0.00,EUR,30.59,
04-10-2024,19:15,04-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,30.00,EUR,30.59,
04-10-2024,19:15,04-10-2024,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 30 EUR,,,,EUR,0.59,
04-10-2024,10:30,03-10-2024,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 600 EUR,,,,EUR,30.59,
04-10-2024,10:30,03-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,600.00,EUR,630.59,
04-10-2024,07:27,03-10-2024,,,DEGIRO Corporate Action Kosten,,USD,-0.02,USD,0.14,
04-10-2024,07:25,03-10-2024,NVIDIA CORP,US67066G1040,Dividendbelasting,,USD,-0.03,USD,0.16,
04-10-2024,07:25,03-10-2024,NVIDIA CORP,US67066G1040,Dividend,,USD,0.19,USD,0.19,
04-10-2024,04:50,03-10-2024,,,iDEAL Deposit,,EUR,30.00,EUR,30.59,
04-10-2024,04:50,03-10-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-30.00,EUR,0.59,
03-10-2024,20:23,02-10-2024,,,iDEAL Deposit,,EUR,600.00,EUR,30.59,
03-10-2024,20:23,02-10-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-600.00,EUR,-569.41,
03-10-2024,20:01,03-10-2024,ADR ON SHELL PLC,US7802593050,Valuta Creditering,1.1005,USD,409.56,USD,0.00,bfe0832c-7441-47fd-821c-82e72122c440
03-10-2024,20:01,03-10-2024,ADR ON SHELL PLC,US7802593050,Valuta Debitering,,EUR,-372.14,EUR,30.59,bfe0832c-7441-47fd-821c-82e72122c440
03-10-2024,20:01,03-10-2024,ADR ON SHELL PLC,US7802593050,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-2.00,EUR,402.73,bfe0832c-7441-47fd-821c-82e72122c440
03-10-2024,20:01,03-10-2024,ADR ON SHELL PLC,US7802593050,"Koop 6 @ 68,26 USD",,USD,-409.56,USD,-409.56,bfe0832c-7441-47fd-821c-82e72122c440
03-10-2024,19:57,03-10-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,380.00,EUR,404.73,
03-10-2024,16:15,02-10-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,26.53,EUR,24.73,
03-10-2024,16:15,02-10-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 26,53 EUR",,,,EUR,-1.80,
02-10-2024,17:19,02-10-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,24.73,590de177-991c-4772-bb7a-ce70fb6ae511
02-10-2024,17:19,02-10-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,"Koop 5 @ 126,16 EUR",,EUR,-630.80,EUR,25.73,590de177-991c-4772-bb7a-ce70fb6ae511
02-10-2024,17:18,02-10-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,30.00,EUR,656.53,
02-10-2024,11:22,02-10-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,600.00,EUR,626.53,
10-09-2024,16:45,10-09-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,23.47,EUR,26.53,
10-09-2024,16:45,10-09-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 23,47 EUR",,,,EUR,3.06,
10-09-2024,04:50,09-09-2024,,,iDEAL Deposit,,EUR,50.00,EUR,26.53,
10-09-2024,04:50,09-09-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-50.00,EUR,-23.47,
09-09-2024,08:15,06-09-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 163,61 EUR",,,,EUR,26.53,
09-09-2024,08:15,06-09-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,163.61,EUR,190.14,
06-09-2024,19:54,06-09-2024,NVIDIA CORP,US67066G1040,Valuta Creditering,1.1054,USD,204.59,USD,0.00,4cc7c127-69bd-4567-8d54-e00a8075d981
06-09-2024,19:54,06-09-2024,NVIDIA CORP,US67066G1040,Valuta Debitering,,EUR,-185.08,EUR,26.53,4cc7c127-69bd-4567-8d54-e00a8075d981
06-09-2024,19:54,06-09-2024,NVIDIA CORP,US67066G1040,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-2.00,EUR,211.61,4cc7c127-69bd-4567-8d54-e00a8075d981
06-09-2024,19:54,06-09-2024,NVIDIA CORP,US67066G1040,"Koop 2 @ 102,295 USD",,USD,-204.59,USD,-204.59,4cc7c127-69bd-4567-8d54-e00a8075d981
06-09-2024,19:54,06-09-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,50.00,EUR,213.61,
27-08-2024,16:30,27-08-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 586,39 EUR",,,,EUR,163.61,
27-08-2024,16:30,27-08-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,586.39,EUR,750.00,
27-08-2024,05:13,26-08-2024,,,iDEAL Deposit,,EUR,750.00,EUR,163.61,
27-08-2024,05:13,26-08-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-750.00,EUR,-586.39,
26-08-2024,10:45,23-08-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 27,31 EUR",,,,EUR,163.61,
26-08-2024,10:45,23-08-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,27.31,EUR,190.92,
23-08-2024,17:25,23-08-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-3.00,EUR,163.61,66397c41-fe32-4ce4-b014-a7c9eb71b38a
23-08-2024,17:25,23-08-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,"Koop 5 @ 122,14 EUR",,EUR,-610.70,EUR,166.61,66397c41-fe32-4ce4-b014-a7c9eb71b38a
23-08-2024,17:23,23-08-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,750.00,EUR,777.31,
09-08-2024,17:00,09-08-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,239.60,EUR,27.31,
09-08-2024,17:00,09-08-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 239,6 EUR",,,,EUR,-212.29,
09-08-2024,11:47,09-08-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-3.00,EUR,27.31,4e69f0e5-5a6f-4966-9a87-dc59af440ea0
09-08-2024,11:47,09-08-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,"Koop 2 @ 118,3 EUR",,EUR,-236.60,EUR,30.31,4e69f0e5-5a6f-4966-9a87-dc59af440ea0
08-08-2024,05:20,07-08-2024,,,iDEAL Deposit,,EUR,30.00,EUR,266.91,
08-08-2024,05:20,07-08-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-30.00,EUR,236.91,
07-08-2024,14:51,07-08-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,30.00,EUR,266.91,
07-08-2024,05:16,06-08-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 462,12 EUR",,,,EUR,236.91,
07-08-2024,05:16,06-08-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,462.12,EUR,699.03,
06-08-2024,14:11,05-08-2024,,,iDEAL Deposit,,EUR,400.00,EUR,236.91,
06-08-2024,14:11,05-08-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-400.00,EUR,-163.09,
06-08-2024,10:40,06-08-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-1.00,EUR,236.91,bb3b3898-c898-4a8b-8455-6ab29ac4ef00
06-08-2024,10:40,06-08-2024,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,"Koop 4 @ 115,28 EUR",,EUR,-461.12,EUR,237.91,bb3b3898-c898-4a8b-8455-6ab29ac4ef00
05-08-2024,15:04,05-08-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,400.00,EUR,699.03,
27-07-2024,05:20,26-07-2024,,,iDEAL Deposit,,EUR,250.00,EUR,299.03,
27-07-2024,05:20,26-07-2024,,,Reservation iDEAL / Sofort Deposit,,EUR,-250.00,EUR,49.03,
26-07-2024,16:45,26-07-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 100,97 EUR",,,,EUR,299.03,
26-07-2024,16:45,26-07-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,100.97,EUR,400.00,
26-07-2024,05:24,25-07-2024,,,iDEAL Deposit,,EUR,150.00,EUR,299.03,
